p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,15.0,25.0,0.91,418763,0.7998586370506275,0.030036108983477406,0.004282318394742361,228848
0.5,1.4,15.0,25.0,0.92,418763,0.7635291109924732,0.023934828058539397,0.004088809307348319,216689
0.5,1.4,15.0,25.0,0.93,418763,0.7070027295080118,0.016706319119454104,0.003759265884914056,198443
0.5,1.4,15.0,25.0,0.9400000000000001,418763,0.6144024783631975,0.009119351943925687,0.0031397266383797837,170397
0.5,1.4,15.0,25.0,0.9500000000000001,418763,0.27220638990608387,0.0014894497310715764,0.00045945945945945947,74000
0.5,1.4,15.0,25.0,0.9600000000000001,418763,0.0,,,0
0.5,1.4,15.0,25.0,0.97,418763,0.0,,,0
0.5,1.4,15.0,25.0,0.98,418763,0.0,,,0
0.5,1.4,15.0,25.0,0.99,418763,0.0,,,0
0.5,1.4,25.0,35.0,0.01,239055,1.0,0.23800380665537219,0.025342191069031055,286755
0.5,1.4,25.0,35.0,0.02,239055,1.0,0.23800380665537219,0.025342191069031055,286755
0.5,1.4,25.0,35.0,0.03,239055,1.0,0.23800380665537219,0.025342191069031055,286755
0.5,1.4,25.0,35.0,0.04,239055,1.0,0.23800380665537219,0.025342191069031055,286755
0.5,1.4,25.0,35.0,0.05,239055,0.9999890205809211,0.23439640896749409,0.02541283600385255,285525
0.5,1.4,25.0,35.0,0.060000000000000005,239055,0.9981170296279623,0.20312061711079943,0.0255939548675236,271822
0.5,1.4,25.0,35.0,0.06999999999999999,239055,0.9948232039042815,0.16945019891103086,0.025262213114428573,251799
0.5,1.4,25.0,35.0,0.08,239055,0.9913207692181006,0.14598526337693785,0.02024425775952912,238191
0.5,1.4,25.0,35.0,0.09,239055,0.9882190833283011,0.13070374108432048,0.017031904958408443,230215
0.5,1.4,25.0,35.0,0.09999999999999999,239055,0.9856938169401457,0.11985117865913737,0.01438190669082898,225144
0.5,1.4,25.0,35.0,0.11,239055,0.983388138933569,0.1115888768207585,0.012847027798349078,221452
0.5,1.4,25.0,35.0,0.12,239055,0.9813898846612026,0.10593595430880566,0.011912592267777534,218928
0.5,1.4,25.0,35.0,0.13,239055,0.9796386673181122,0.10097132378131109,0.011300243169789729,216721
0.5,1.4,25.0,35.0,0.14,239055,0.9779697956181138,0.09722243337336758,0.010896255371393493,215028
0.5,1.4,25.0,35.0,0.15000000000000002,239055,0.9766083476523257,0.09379966583805371,0.010572200450418815,213579
0.5,1.4,25.0,35.0,0.16,239055,0.9752084717197613,0.0908844331173683,0.010228793275663858,212244
0.5,1.4,25.0,35.0,0.17,239055,0.9740007356210783,0.08841814295696494,0.009976739889431572,211091
