p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,5.0,15.0,0.8300000000000001,233799,0.8878249531415533,0.05951498845381887,0.006876200933296733,145720
0.5,1.4,5.0,15.0,0.8400000000000001,233799,0.8833088854480754,0.05760076511204979,0.006728860796260053,144601
0.5,1.4,5.0,15.0,0.85,233799,0.8780457990383832,0.055372498593586755,0.006566460112767264,143304
0.5,1.4,5.0,15.0,0.86,233799,0.8723005460027707,0.05318325556710378,0.006453931190947586,141929
0.5,1.4,5.0,15.0,0.87,233799,0.8649729715046315,0.05057620346765657,0.006278001312673002,140172
0.5,1.4,5.0,15.0,0.88,233799,0.8565927797245538,0.0473115355856162,0.00608149199270221,138124
0.5,1.4,5.0,15.0,0.89,233799,0.8461480998560291,0.0439883372976291,0.005840114887505984,135785
0.5,1.4,5.0,15.0,0.9,233799,0.8316287724445168,0.04005675360001254,0.005646054922771919,132659
0.5,1.4,5.0,15.0,0.91,233799,0.8105220981718415,0.03509523655531482,0.005357754726972557,128412
0.5,1.4,5.0,15.0,0.92,233799,0.77450900497107,0.028038657553392764,0.004809589581689029,121632
0.5,1.4,5.0,15.0,0.93,233799,0.6913386575394562,0.016263383711491632,0.004348353504343688,107167
0.5,1.4,5.0,15.0,0.9400000000000001,233799,0.5620568820797001,0.006720752724305122,0.0033467826573687523,85754
0.5,1.4,5.0,15.0,0.9500000000000001,233799,0.0,,,0
0.5,1.4,5.0,15.0,0.9600000000000001,233799,0.0,,,0
0.5,1.4,5.0,15.0,0.97,233799,0.0,,,0
0.5,1.4,5.0,15.0,0.98,233799,0.0,,,0
0.5,1.4,5.0,15.0,0.99,233799,0.0,,,0
0.5,1.4,15.0,25.0,0.01,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.02,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.03,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.04,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.05,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.060000000000000005,418763,0.999616515403298,0.3347145488029466,0.02433417949349249,471148
0.5,1.4,15.0,25.0,0.06999999999999999,418763,0.9981652893804844,0.30209193142208224,0.024487933822197473,447159
0.5,1.4,15.0,25.0,0.08,418763,0.9950898933010505,0.2653928991717921,0.025359691591774154,409587
0.5,1.4,15.0,25.0,0.09,418763,0.9899053319397553,0.22856481535738982,0.02254222743160935,382216
0.5,1.4,15.0,25.0,0.09999999999999999,418763,0.9833860937958208,0.1928213895558038,0.02005629052163667,358142
