variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
ftof_energy_2,1,2,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_energy_2,1,2,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_energy_2,1,2,25,35,823,1012,0.0498473,0.0540676,5336,7162,823,1012,0.154235,0.141301,-0.0129341,0.117885,5.85585e-06,65.7011,40,1.64253,0.00638188,0.656226,2.1952,True,2.50636,0.657373,0.210769,2.34332,DROP,ok
ftof_energy_2,2,3,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_energy_2,2,3,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_energy_2,2,3,25,35,31,59,0.0498473,0.0540676,1166,2124,31,59,0.0265866,0.0277778,0.00119116,0.256971,0.110961,16.672,12,1.38933,0.162359,0.686248,1.94915,True,6.27946,2.36248,3.67219,67796.6,DROP,ok
ftof_energy_2,3,5,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_energy_2,3,5,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_energy_2,3,5,25,35,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_time_2,1,2,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_time_2,1,2,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_time_2,1,2,25,35,823,1012,0.0498473,0.0540676,5336,7162,823,1012,0.154235,0.141301,-0.0129341,0.177349,5.94277e-13,103.683,47,2.20603,3.74564e-06,0.426244,1.89177,True,0.354271,0.308373,0.183386,1.17949,DROP,ok
ftof_time_2,2,3,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_time_2,2,3,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_time_2,2,3,25,35,31,59,0.0498473,0.0540676,1166,2124,31,59,0.0265866,0.0277778,0.00119116,0.174412,0.496454,47.7087,39,1.2233,0.159814,0.631661,1.06897,True,0.0824237,0.166794,3.4959,84745.8,DROP,ok
ftof_time_2,3,5,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_time_2,3,5,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_time_2,3,5,25,35,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_path_2,1,2,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_path_2,1,2,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_path_2,1,2,25,35,823,1012,0.0498473,0.0540676,5336,7162,823,1012,0.154235,0.141301,-0.0129341,0.07355,0.0137905,60.9786,49,1.24446,0.117102,0.416703,6.25427,True,1.26113,0.136184,0.0761955,0.574015,CANDIDATE,ok
ftof_path_2,2,3,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_path_2,2,3,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_path_2,2,3,25,35,31,59,0.0498473,0.0540676,1166,2124,31,59,0.0265866,0.0277778,0.00119116,0.191908,0.379481,44.2578,32,1.38306,0.0732045,0.573755,1,True,2.10919,0.266036,4.99289,84745.8,DROP,ok
ftof_path_2,3,5,5,15,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_path_2,3,5,15,25,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
ftof_path_2,3,5,25,35,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
p,1,2,5,15,9585,9952,1,1,9585,9952,9585,9952,1,1,0,0.0775946,5.14307e-26,178.636,49,3.64563,1.2211e-16,0.164254,0.398196,True,0.0475998,0.108526,0.0338991,0.326651,CANDIDATE,ok
p,1,2,15,25,13926,15954,1,1,13926,15954,13926,15954,1,1,0,0.0818181,9.49271e-44,264.423,49,5.3964,2.59925e-31,0.166859,0.342415,True,0.0498318,0.10818,0.0341374,0.329583,CANDIDATE,ok
p,1,2,25,35,5336,7162,1,1,5336,7162,5336,7162,1,1,0,0.0755491,1.25875e-15,133.92,49,2.73307,8.10203e-10,0.195359,0.679396,True,0.0482107,0.103828,0.0377069,0.606735,CANDIDATE,ok
p,2,3,5,15,10927,12503,1,1,10927,12503,10927,12503,1,1,0,0.0241677,0.00216549,48.0596,49,0.980808,0.511205,0.0743875,0.21768,False,0.0123355,0.0249709,0.00548271,0.210359,KEEP,ok
p,2,3,15,25,9727,13713,1,1,9727,13713,9727,13713,1,1,0,0.0122602,0.356421,39.3169,49,0.802387,0.8371,0.0676646,0.236892,False,0.00481245,0.00996257,0.00222017,0.129901,KEEP,ok
p,2,3,25,35,1166,2124,1,1,1166,2124,1166,2124,1,1,0,0.080376,0.00011069,58.7817,49,1.19963,0.159761,0.313515,1.48507,True,0.0359624,0.0916573,0.0427242,0.497175,CANDIDATE,ok
p,3,5,5,15,15732,14867,1,1,15732,14867,15732,14867,1,1,0,0.0193287,0.0065281,86.0056,49,1.75522,0.000855871,0.102011,0.37386,False,0.0195432,0.0220844,0.00647051,0.254702,KEEP,ok
p,3,5,15,25,5114,7182,1,1,5114,7182,5114,7182,1,1,0,0.0385649,0.000267471,77.1382,49,1.57425,0.00631075,0.246904,2.06349,False,0.0405377,0.061633,0.0144839,0.445162,CANDIDATE,ok
p,3,5,25,35,59,139,1,1,59,139,59,139,1,1,0,0.0736496,0.961896,42.4904,38,1.11817,0.283686,0.564564,1,True,0.0146279,0.0528836,0.443135,2.82014,DROP,ok
